24
1|2|Dept1 Project 1|2026-07-01|0
2|2|Dept1 Project 2|2026-07-01|1
3|2|Dept1 Project 3|2026-07-01|0
4|2|Dept1 Project 4|2026-07-01|1
5|3|Dept2 Project 1|2026-07-01|0
6|3|Dept2 Project 2|2026-07-01|1
7|3|Dept2 Project 3|2026-07-01|0
8|3|Dept2 Project 4|2026-07-01|1
9|4|Dept3 Project 1|2026-07-01|0
10|4|Dept3 Project 2|2026-07-01|1
11|4|Dept3 Project 3|2026-07-01|0
12|4|Dept3 Project 4|2026-07-01|1
13|5|Dept4 Project 1|2026-07-01|0
14|5|Dept4 Project 2|2026-07-01|1
15|5|Dept4 Project 3|2026-07-01|0
16|5|Dept4 Project 4|2026-07-01|1
17|6|Dept5 Project 1|2026-07-01|0
18|6|Dept5 Project 2|2026-07-01|1
19|6|Dept5 Project 3|2026-07-01|0
20|6|Dept5 Project 4|2026-07-01|1
21|7|Dept6 Project 1|2026-07-01|0
22|7|Dept6 Project 2|2026-07-01|1
23|7|Dept6 Project 3|2026-07-01|0
24|7|Dept6 Project 4|2026-07-01|1
